3D打印	to 3D print
墨翟	original name of Mozi 墨子
墨脱	see 墨脫縣|墨脱县
墨脱县	Mêdog
墨西哥	Mexico
墨西哥人	Mexican
墨西哥卷饼	burrito
墨西哥城	Mexico City
墨西哥湾	Gulf of Mexico
墨西哥辣椒	jalapeño
墨西拿	Messina
墨西拿海峡	Strait of Messina betwe…
墨迹	ink marks
墨镜	sunglasses
墨鱼	cuttlefish
墩子	squat block
墩布	swab
壁厢	lateral
壁咚	to kabedon
壁垒	rampart
壁垒一新	to have one's defenses …
壁垒森严	closely guarded
壁报	wall newspaper
壁挂	wall hanging
壁效应	wall effect
壁架	ledge
壁橱	a built-in wardrobe or …
壁毯	tapestry
壁灯	wall lamp
壁炉	fireplace
壁球	squash
壁画	mural
壁立	stand like a wall
壁立千仞	steep
壁纸	wallpaper
壁虎	gecko
壁虱	tick
壁龛	niche
壅蔽	to cover
壕沟	trench
壤土	loam
壤塘	see 壤塘縣|壤塘县
壤塘县	Zamthang
士丹利	Stanley
士人	scholar
士兵	soldier
士农工商	"the four classes" of a…
士力架	Snickers
士卒	soldier
士多啤梨	strawberry
士大夫	scholar officials
士官	warrant officer
士师记	Book of Judges
士敏土	cement
士族	land-owning class
士林	Shilin or Shihlin Distr…
士林区	Shilin or Shihlin Distr…
士气	morale
壬午	nineteenth year I7 of t…
壬子	forty-ninth year I1 of …
壬寅	thirty-ninth year I3 of…
壬戌	fifty-ninth year I11 of…
壬申	ninth year I9 of the 60…
壬辰	twenty-ninth year I5 of…
壬辰倭乱	Imjin war
壮丁	able-bodied man
壮丽	magnificence
壮举	magnificent feat
壮围乡	Zhuangwei or Chuangwei …
壮士	hero
壮大	to expand
壮实	robust
壮年	lit. robust years
壮志	great goal
壮族	Zhuang ethnic group
壮烈	brave
壮硕	sturdy
壮美	magnificent
壮胆	to get one’s courage up
壮观	spectacular
壮语	Zhuang language
壮起胆子	to proceed with sth eve…
壮阔	grand
壮阳	to build up one's kidne…
声东击西	to threaten the east an…
声乐	vocal music
声价	reputation
声优	voice actor
声像	audiovisual
声势	fame and power
声卡	sound card
声名	reputation
声名大噪	to rise to fame
声名狼藉	to have a bad reputation
声名鹊起	to rise to fame
声呐	sonar
声响	sound
声嘶力竭	to shout oneself hoarse
声囊	vocal sac
声场	acoustic field
声威	prestige
声学	acoustics
声带	vocal cords
声张	to make public
声息	sound
声情并茂	excellent in voice and …
声押	to apply to a court for…
声援	to support
声效	sound effect
声旁	phonetic component of C…
声旁字	character serving as so…
声明	to state
声明书	statement
声望	reputation
声母	the initial consonant o…
声气	voice
声波	sound wave
声波定位	sonic location system
声泪俱下	to shed tears while rec…
声浪	clamor
声称	to claim
声符	phonetic component of a…
声线	voice
声色场所	red-light district
声色犬马	lit. music
声言	to state
声誉	reputation
声讨	to denounce
声训	explaining a character …
声调	tone
声调语言	tonal language
声调轮廓	tone contour
声道	sound track
声部	part
声门	glottis
声闻	disciple
声音	voice
声韵学	phonetics
声频	audio frequency
壳儿	shell
壳牌	see 殼牌公司|壳牌公司
壳牌公司	Shell
壳菜	mussels
壳郎猪	feeder pig
壶关	see 壺關縣|壶关县
壶关县	Huguan
处世	to conduct oneself in s…
处世之道	way of life
处世原则	a maxim
处之泰然	see 泰然處之|泰然处之
处事	to handle affairs
处事原则	a maxim
处于	to be in
处决	to execute
处分	to discipline sb
处刑	to sentence
处变不惊	to remain calm in the f…
处在	to be situated at
处堂燕雀	lit. a caged bird in a …
处境	situation
处处	everywhere
处女	virgin
处女作	first publication
处女座	Virgo
处女膜	hymen
处女航	maiden voyage
处子	virgin
处子秀	debut
处心积虑	to plot actively
处所	place
处方	medical prescription
处方药	prescription drug
处暑	Chushu or End of Heat
处死	an execution
处治	to punish
处理	to handle
处理器	processor
处理者	handler
处理能力	processing capability
处男	virgin
处级	department-level
处罚	to penalize
处置	to handle
处警	to deal with an emergen…
处长	department head
备下	to prepare
备件	spare parts
备份	backup
备办	to provide
备取	to be on the waiting li…
备受	to receive a great deal…
备品	machine parts or tools …
备孕	to be trying to get pre…
备尝艰苦	see 備嘗辛苦|备尝辛苦
备尝辛苦	to have suffered all ki…
备忘录	memorandum
备悉	to know all about
备战	prepared against war
备料	to get the materials re…
备查	for future reference
备案	to put on record
备注	remarks column
备注栏	remarks column
备用	reserve
备用环	backup ring
备皮	to prep a patient's ski…
备考	to prepare for an exam
备而不用	have sth ready just in …
备耕	to make preparations fo…
备胎	spare tire
备至	to the utmost
备荒	to prepare against natu…
备课	to do one's lesson prep…
备货	to stock goods
备选	alternative
备降	to land at an alternate…
复习	to review
复交	to reopen diplomatic re…
复仇	to avenge
复会	to resume a meeting
复位	to restore sb or sth to…
复信	to reply to a letter
复健	rehabilitation
复共轭	complex conjugate
复兴	to revive
复兴党	Baath Party
复兴区	Fuxing
复兴时代	the Renaissance
复兴门	Fuxingmen neighborhood …
复写	to duplicate
复写纸	carbon paper
复出	to come back out of ret…
复分解反应	metathesis
复利	compound interest
复制	to duplicate
复制品	replica
复刻	to reprint
复印	to photocopy
复印件	photocopy
复印机	photocopier
复印纸	photocopier paper
复原	to restore  to  former …
复原乳	reconstituted milk
复发	to recur
复变函数	function of a complex v…
复变函数论	theory of functions of …
复古	to return to old ways
复古会	anti-Qing revolutionary…
复句	compound phrase
复叶	compound leaf
复合	to be reconciled
复合元音	diphthong
复合弓	composite bow
复合材料	composite material
复合母音	diphthong
复合肥	compound fertilizer
复合词	compound word
复吸	to resume smoking
复员	to demobilize
复命	to report on completion…
复姓	to revert to one's orig…
复婚	to remarry
复学	to return to school
复审	to re-examine
复岗	to return to one's job
复工	to return to work
复市	to resume trading
复平面	complex plane
复式	double
复归	to return
复数	plural
复数域	field of complex numbers
复数平面	complex plane
复数形式	plural form
复方	compound prescription
复旦	Fudan University
复旦大学	Fudan University
复旧	to restore old way
复明	to restore the Ming dyn…
复映片	second-run movie
复本	copy
复杂	complicated
复杂化	to complicate
复杂性	complexity
复杂系统	complex system
复权	to adjust the price
复查	to check again
复核	to reconsider
复殖吸虫	digenetic trematode worm
复殖目	Order Digenea
复比	compound ratio
复活	to revive
复活节	Easter
复活节岛	Easter Island
复活赛	repechage
复现	to reappear
复生	to be reborn
复用	to reuse
复盘	to replay the game
复眼	compound eye
复秤	to reweigh
复线	multiple track
复职	to resume a post
复联	Avengers
复苏	to recover
复萌	to germinate again
复视	double vision
复议	to reconsider
复诊	another visit to doctor
复试	to sit for the second r…
复读	to return to the same s…
复读生	student who repeats  at…
复课	to resume classes
复购	to buy again
复赛	semifinal or quarterfin…
复转	to demobilize
复辟	to recover one's power …
复返	to come back
复述	to repeat
复选框	check box
复阳	to test positive again …
复音词	disyllabic word
复韵母	compound final
夏代	Xia or Hsia dynasty c. …
夏令	summer
夏令时	daylight saving time
夏令营	summer camp
夏侯	two-character surname X…
夏利	Xiali
夏历	the traditional Chinese…
夏县	Xia County or Xiaxian
夏商周	Xia
夏士莲	Hazeline
夏天	summer
夏奥会	the Summer Olympic Games
夏威夷	Hawaii
夏威夷岛	Hawaii island
夏威夷果	macadamia nut
夏娃	Eve
夏季	summer
夏尔巴人	Sherpa
夏敬渠	Xia Jingqu
夏日	summertime
夏时制	daylight saving time
夏普	Sharp Corporation
夏朝	Xia Dynasty
夏正民	Justice Michael Hartmann
夏河	see 夏河縣|夏河县
夏河县	Xiahe
夏洛克	Shylock
夏洛特	Charlotte
夏洛特敦	Charlottetown
夏津	see 夏津縣|夏津县
夏津县	Xiajin
夏王朝	Xia dynasty
夏目漱石	Natsume Sōseki
夏禹	see 大禹
夏至	Xiazhi or Summer Solsti…
夏至点	the summer solstice
夏虫不可以语冰	a summer insect cannot …
夏衍	Xia Yan
夏装	summer clothing
夏邑	see 夏邑縣|夏邑县
夏邑县	Xiayi
夏黄公	Xia Huanggong also know…
夔州	Kuizhou
夕发朝至	to depart in the evenin…
夕照	glow of the setting sun
夕阳	sunset
夕阳产业	sunset industry
夕阳西下	the sun sets in the west
外业	on-site operations
外东北	see 外滿洲|外满洲
外乡	another part of the cou…
外乡人	a stranger
外事	foreign affairs
外事处	Foreign Affairs Office
外交	diplomacy
外交事务	foreign affairs
外交关系	foreign relations
外交关系理事会	Council on Foreign Rela…
外交大臣	Foreign Secretary
外交学院	China Foreign Affairs U…
外交官	diplomat
外交家	diplomat
外交庇护	diplomatic asylum
外交手腕	diplomatic skills
外交政策	foreign policy
外交特权	diplomatic immunity
外交豁免权	diplomatic immunity
外交部	Ministry of Foreign Aff…
外交部长	minister of foreign aff…
外交风波	diplomatic crisis
外人	outsider
外企	foreign enterprise
外传	to tell others
外伤	injury
外侧	outer side
外侧沟	lateral sulcus or Sylvi…
外侧裂	lateral sulcus or Sylvi…
外侨	foreigner
外侮	foreign aggression
外借	to lend
外债	foreign debt
外八字脚	splayed feet
外八字腿	bow legs
外公	mother's father
外出	to go out
外出访问	to make an official vis…
外分泌	exocrine
外分泌腺	exocrine gland
外刊	foreign-published perio…
外刚内柔	soft on the inside desp…
外力	external force
外办	foreign affairs office
外加	in addition
外加剂	additive
外加附件	add-on
外务	foreign affairs
外务省	foreign ministry
外务部	Ministry of Foreign Aff…
外勤	work done in the field
外包	outsourcing
外卖	to provide a takeout or…
外卖员	food delivery person
外卡	wild card
外号	nickname
外向	extroverted
外向型	export-oriented
外商	foreign businessman
外商独资企业	wholly foreign-owned en…
外商直接投资	overseas foreign direct…
外围	surrounding
外国	foreign country
外国人	foreigner
外国话	foreign languages
外国语	foreign language
外国资本	foreign capital
外圆内方	lit. outside-flexible
外在	external
外地	parts of the country ot…
外地人	stranger
外场	outside world
外型	external form
外墙	facade
外壳	envelope
外太空	outer space
外头	outside
外套	outer garment
外婆	mother's mother
外媒	foreign news media
外嫁	to marry a non-local or…
外子	my husband
外孙	daughter's son
外孙女	daughter's daughter
外孙女儿	granddaughter
外孙子	daughter's son
外宣	international public re…
外宽内忌	magnanimous on the outs…
外宾	foreign guest
外层	outer layer
外层空间	outer space
外差	heterodyne
外币	foreign currency
外带	take-out
外延	extension
外强中干	strong in appearance bu…
外形	figure
外径	external diameter
外心	interest in a third per…
外快	extra income
外患	foreign aggression
外戚	consort kin
外手	right-hand side
外挂	attached externally
外接圆	circumscribed circle
外推	to extrapolate
外推法	extrapolation
外援	foreign aid
外放	extroverted
外教	foreign teacher
外敷	to apply externally
外文	foreign language
外文系	department of foreign l…
外斜肌	external oblique muscle
外星	alien
外星人	space alien
外显	externally manifested
外显子	an exon
外显率	penetrance
外景	exterior scene
外来	external
外来人	foreigner
外来投资	foreign investment
外来物种	an introduced species
外来词	loanword
外来语	loanword
外来货	imported product
外水	extra income
外汇	foreign  exchange
外汇储备	foreign-exchange reserv…
外汇存底	foreign exchange reserv…
外泄	to leak
外派	to send sb to work abro…
外流	outflow
外海	offshore
外源凝集素	lectin
外溢	to spill out
外滩	the Bund
外激素	pheromone
外照射	external irradiation
外环线	outer ring
外甥	sister's son
外甥女	sister's daughter
外甥女婿	sister's daughter's hus…
外甥媳妇	sister's son's wife
外用	external
外电	reports from foreign ne…
外界	the outside world
外皮	outer skin
外相	Foreign Minister
外省	another province
外眼角	outer corner of the eye
外祖母	mother's mother
外祖父	maternal grandfather
外科	surgery
外科医生	surgeon
外科学	surgery
外科手术	surgery
外积	exterior product
外稃	lemma
外管局	State Administration of…
外籍	foreign
外籍劳工	foreign worker
外籍华人	overseas Chinese
外线	line of troops encircli…
外网	the Internet outside th…
外置	external
外耳	outer ear
外耳道	external auditory meatus
外胚层	ectoderm
外舅	father-in-law
外蒙	Outer Mongolia
外蒙古	Outer Mongolia
外行	layman
外衣	outer clothing
外表	external
外观	outward appearance
外观设计	look
外设	peripherals
外语	foreign language
外貌	profile
外貌协会	the "good-looks club": …
外质膜	external plasma membrane
外贸	foreign trade
外贸协会	Taiwan External Trade D…
外资	foreign investment
外资企业	abbr. for 外商獨資企業|外商独资企业
外路	see 外地
外踝	lateral malleolus
外边	outside
外边儿	erhua variant of 外邊|外边
外送	to send out
外逃	to flee abroad
外遇	extramarital affair
外邦人	gentile
外部	the outside
外部链接	external link
外郭城	outer city wall
外野	outfield
外野手	outfielder
外链	external link
外销	to export
外错角	alternate exterior angl…
外长	foreign minister
外间	outer room
外阴	vulva
外院	outer courtyard
外需	external demand
外露	exposed
外面	outside
外骛	to get involved in thin…
外骨骼	exoskeleton
外高加索	Transcaucasia
夙兴夜寐	to rise early and sleep…
夙夜	morning and night
夙夜匪懈	to work from morning to…
夙愿	long-cherished wish
夙愿以偿	a long-cherished ambiti…
夙愿得偿	to have a long-cherishe…
多一事不如少一事	it is better to avoid u…
多个	many
多个朋友多条路	the more friends you ha…
多久	how long?
多么	how
多义	polysemy
多义性	equivocality
多义词	polyseme
多了去了	aplenty
多事	meddlesome
多事之秋	troubled times
多于	more than
多亏	thanks to
多云	cloudy
多产	prolific
多任务处理	multitasking
多伊尔	Doyle
多伦县	Duolun
多伦多	Toronto
多余	superfluous
多佛	Dover
多佛尔	Dover
多侧面	many-sided
多倍体	polyploid
多值	multivalued
多值函数	multivalued function
多元	poly-
多元不饱和脂肪酸	polyunsaturated fatty a…
